review,clean_review,label
"nomerku ke blokir semuaa,kecewa bgt",nomerku blokir semuaakecewa bgt,negatif
baperan,baperan,negatif
"bagus, tapi tolong atasi masalah pas buat status jangan burik plis perasaan sebelum di post hd bgt pas di buat sw bangke burik nya di luar nalar jir o iya kalo bisa tambahin logo foto live di sw biar bagus aja",bagus tolong atasi pas status burik plis perasaan post hd bgt pas sw bangke burik nya nalar jir o iya kalo tambahin logo foto live sw biar bagus aja,negatif
mantul sekali,mantul,negatif
kenapa ya akun WhatsApp saya dikit dikit kblokir abis itu kemaren kblokir permanen salah nya apasi,ya akun whatsapp dikit dikit kblokir abis kemaren kblokir permanen salah nya apasi,negatif
"makin jelek bgt WA skrng ngga kaya dulu normal""aja",jelek bgt wa skrng ngga kaya normalaja,negatif
wa bosok,wa bosok,negatif
gue masuk keluar trs gimana sih tolong di perbaiki,gue masuk trs gimana sih tolong perbaiki,negatif
"Aplikasi nya makin buruk!!, sinyal bagus, paket data full, tapi tetep aja pesan tidak terkirim!!! tolong perbaiki!",aplikasi nya buruk sinyal bagus paket data full tetep aja pesan terkirim tolong perbaiki,negatif
Terlalu banyak fitur rawan diretas untuk penipuan,fitur rawan diretas penipuan,negatif
wa ku GK bis diupdet tolong untuk dibiasakan y aplikasinya jg dh bagus TPI itu aj cuma GK bisa diupdet,wa ku gk bis diupdet tolong dibiasakan y aplikasinya jg dh bagus tpi aj gk diupdet,negatif
ok fine sangat lah bagus namun kamu nanya,ok fine bagus nanya,negatif
makin updat makin ga jelas tiap hari kena spam ganti kartu tetap aja masih spam,updat ga kena spam ganti kartu aja spam,negatif
siipp,siipp,negatif
sekarang washap gampang eror bentar bentar minta di set ulang,washap gampang eror bentar bentar set ulang,negatif
dalam sebulan udah beberapa kali update nya kenapa sih harus update terus kalo bisa jangan disuruh update terus!!!! wa sekarang jelek banget dikit dikit update!!!!!,sebulan udah kali update nya sih update kalo disuruh update wa jelek banget dikit dikit update,negatif
kenapa sekarang kok story wa jdinya pecah bgt gak hd padahl udah disetel hd tp hasilny gak hd,story wa jdinya pecah bgt gak hd padahl udah disetel hd tp hasilny gak hd,negatif
akun ke nlikr trs padahal gak pernah ada spam tau nyepam tapi ke blokir trs,akun nlikr trs gak spam tau nyepam blokir trs,negatif
"wa nya udah resmi malah gabisa di gunain tolol buang"" uang",wa nya udah resmi gabisa gunain tolol buang uang,negatif
mantuapp,mantuapp,negatif
heee wa tema chat gaada warna lain apa selain warna butek kek mesengger noh warna ny cerah² masa wa warna ny butek semua,heee wa tema chat gaada warna warna butek kek mesengger noh warna ny cerah wa warna ny butek,negatif
wa saya slalu ter spam entah knp mohon solusinya para suhu,wa slalu ter spam knp mohon solusinya suhu,negatif
"whatsapp sekarang tiba"" ada notif telp masuk, ga sempat jawab panggilan",whatsapp notif telp masuk ga panggilan,negatif
bisa cetingan dan terus bisa nge prank orang,cetingan nge prank orang,negatif
Jelek,jelek,negatif
kecewa baget sama apk ini udah berapa kali login masukka nmr ttp aj ngk bisa,kecewa baget apk udah kali login masukka nmr ttp aj ngk,negatif
jelek banget sumpah bikin kesel masak bio harian,jelek banget sumpah bikin kesel masak bio harian,negatif
kenapa tdk bisa buat nyematin kontak orang,tdk nyematin kontak orang,negatif
mudah mudahan baik dan tidak mengecewakan pelanggan.. trimakasih,mudah mudahan mengecewakan pelanggan trimakasih,negatif
sangat membantu sekali maksih apk Whasaptt nya Min😚,membantu maksih apk whasaptt nya min,negatif
semoga sukse,semoga sukse,negatif
knp sekarang wa sering terkena spam padahal saya tidak melanggar aturan whatsapp tolong lah perbaiki masalah ini,knp wa terkena spam melanggar aturan whatsapp tolong perbaiki,negatif
"apalah skrng wa pke kena spam dan d blokir,cape pake wa lama²",apalah skrng wa pke kena spam d blokircape pake wa,negatif
kenapa nih wa dikit2 kena spam dikit2 nomer ini gak bisa digunakan lagi tolong diperbaiki hampir pengguna wa admin tolong perkuat wa nya udah mau 2026 wa kek gini gjals,nih wa dikit kena spam dikit nomer gak tolong diperbaiki pengguna wa admin tolong perkuat wa nya udah wa kek gini gjals,negatif
pliss lah jangan kebanyakan eror nya,pliss kebanyakan eror nya,negatif
akun WhatsApp kena spam Mulu,akun whatsapp kena spam mulu,negatif
kenapa akun saya selalu terbatasi,akun terbatasi,negatif
akun saya kebelokir,akun kebelokir,negatif
kamera depan sering bug gk jelas.,kamera bug gk,negatif
WhatsApp nya eror.,whatsapp nya eror,negatif
"wantsap saya tidak bisa di pakai apakah bisa di normal kan kembali, wantsap saya kena spam",wantsap pakai normal wantsap kena spam,negatif
aplikasi WhatsApp saya kena spam terus,aplikasi whatsapp kena spam,negatif
wa saya ngleg butuh di update tapi ko ga ada sih update nya gimana ini??,wa ngleg butuh update ko ga sih update nya gimana,negatif
nomor gampang ke banned walaupun tidak melakukan tindakan yang melanggar peraturan WhatsApp,nomor gampang banned tindakan melanggar peraturan whatsapp,negatif
malah jdi ngelag,jdi ngelag,negatif
"w,a saya sering macett kenapa ya pas mau bikin story malah keluar,kenapasihhhh w,a nyaaa tolong dong",wa macett ya pas bikin story keluarkenapasihhhh wa nyaaa tolong,negatif
ga ada filter🙄,ga filter,negatif
Kok android 15 nggk mendukung sihh,android nggk mendukung sihh,negatif
"SAYA PAS MAU TAMBAH AKUN LOADING NYA TUH LAMA BANGET SAMPE SEKARANG BELUM BISA,KENAPA WHATSAPP JADI DELAY GINI?",pas akun loading nya tuh banget sampe bisakenapa whatsapp delay gini,negatif
"dihape saya,tiap kali mau masuk gunakan nomor telepon,pasti ada keterangan gunakan wa resmi.kok wa ini seakan-akan legal gitu.tolong penjelasannya delover",dihape sayatiap kali masuk nomor teleponpasti keterangan wa resmikok wa seakanakan legal gitutolong penjelasannya delover,negatif
"WhatsApp tolong banget ramnya dikecilkan sampai 5,9GB hp saya sampai ngelag jadi tolong banget ramnya dikecilkan 🙏🙏🙏🙏🙏",whatsapp tolong banget ramnya dikecilkan gb hp ngelag tolong banget ramnya dikecilkan,negatif
"tau dah kenapa,tiba"" akun ke ban berhari"" dengan alasan spam, padahal tidak pernah saya lakukan sama sekali,tiba"" chat dibatasi,Napa dh,apk banyak problem,klo bukan karena mayoritas orang pake,males kali pake apk ini",tau dah kenapatiba akun ban berhari alasan spam lakukan sekalitiba chat dibatasinapa dhapk problemklo mayoritas orang pakemales kali pake apk,negatif
"Nomer WA,sering kena hake,/kena bajak terus sekarang2 ini",nomer wasering kena hakekena bajak,negatif
tolong jangan blokir WhatsApp saya Mulu karna saya tidak pernah melanggar aturan WhatsApp,tolong blokir whatsapp mulu karna melanggar aturan whatsapp,negatif
wa tiba2 di batasi sangat aneh,wa batasi aneh,negatif
"cht yg disematkan sering lepas cht sendiri setelah keluar dri whatsapp tolong dong, kaya ada yg ngehack tp gak ada",cht yg disematkan lepas cht dri whatsapp tolong kaya yg ngehack tp gak,negatif
selalu di blokir sama pihak whatshap padahal tidak melakukan pelanggran,blokir whatshap pelanggran,negatif
masuk whatsApo susah lama,masuk whatsapo susah,negatif
ok bagus,ok bagus,negatif
"ketika ingin membuka wa, terus keluar sendiri tanpa sebab.padahal tidak ada disentuh sama sekali,tolong lebih diperbaiki 🙏",membuka wa sebabpadahal disentuh sekalitolong diperbaiki,negatif
aplikasi begok makin ksini makin gk karuan gk bisa komen sw pake suara kadang di call gk masuk taunya pemberitahuan nya klo panggilan tak terjawab pesan masuk lambat makin gini amat sih,aplikasi begok ksini gk karuan gk komen sw pake suara kadang call gk masuk taunya pemberitahuan nya klo panggilan terjawab pesan masuk lambat gini sih,negatif
cuma chat p doang ke istri di sebut spam sampe di batasi WhatsApp makin kesini makin aneh,chat p doang istri spam sampe batasi whatsapp kesini aneh,negatif
enggaakk bisa di update anjirrrr,enggaakk update anjirrrr,negatif
Makin kesini fiturnya malah banyak yg tidak berguna,kesini fiturnya yg berguna,negatif
bisa ngechat orang,ngechat orang,negatif
WhatsApp Messenger sangatlah beas banget soalnya bisa bicara sama seseorang walaupun jaut😘😘😊😊♥️🎀,whatsapp messenger beas banget bicara jaut,negatif
Gajelas kena spam mlu cape lama²Nunggu,gajelas kena spam mlu cape lamanunggu,negatif
sangat kecewa,kecewa,negatif
halo WhatsApp disini saya mau mengerti tentang update yang baru ini tidak tambah bagus malah makin jelek saya berikan contohnya:akun ini tidak bisa memakai WhatsApp karena spam.Padahan saya tidak engapain ² hanya cetingan tibat² gayak gitu tolong WhatsApp yang dulu mana saya ingin WhatsApp yang dulu 😢,halo whatsapp mengerti update bagus jelek contohnyaakun memakai whatsapp spampadahan engapain cetingan tibat gayak gitu tolong whatsapp whatsapp,negatif
"cepat sekali kena spam Baru chat 3 orang sudah kena spam, WhatsApp susah dipakai kerja sekarang,apalagi kerjaan saya sebagai kurir terhambat oleh WhatsApp",cepat kena spam chat orang kena spam whatsapp susah dipakai kerja sekarangapalagi kerjaan kurir terhambat whatsapp,negatif
gatau bug semat pesan nyebelin bikin berantem sama pacar,gatau bug semat pesan nyebelin bikin berantem pacar,negatif
post story nggak bisa hd foto/gambar jd pecah jd burem sblm di update bagus pas sudahh di update malah jelek gk bagus kalo buat bikin story mohon perbaikannya 🙏,post story nggak hd fotogambar jd pecah jd burem sblm update bagus pas sudahh update jelek gk bagus kalo bikin story mohon perbaikannya,negatif
"tiba"" akun di batasi jadi gk bisa chat segera benahi bug nya cepattt",akun batasi gk chat benahi bug nya cepattt,negatif
udah di update malah bikin SW juga susah makin aneh aja,udah update bikin sw susah aneh aja,negatif
kenapa ya kalau bikin status video pasti gambarnya pecah gak jernih,ya bikin status video gambarnya pecah gak jernih,negatif
"after update visual jadi aneh,enakan tampilan sebelum di update,hadeeuuhh🤦",after update visual anehenakan tampilan updatehadeeuuhh,negatif
"woi ini kenapa pesan doi ga bisa disematin, padahal chat yang lain bisa aneh""",woi pesan doi ga disematin chat aneh,negatif
"WA sekarang alay, dikit dikit spam dikit dikit spam. waduh",wa alay dikit dikit spam dikit dikit spam,negatif
jelek ah udah ngechat tapi dianya malah sama yg lain,jelek ah udah ngechat dianya yg,negatif
plisssss ini kenapa wa jdi gini..kmren hp ke riset pas download wa ulang jdi gk bsa nyematkan pesan..udh di sematkan eh chat nya turun lgi ke bawah dah gtu gk bsa notifikasi khusus kya sblum nya ..dlu ganti wallpaper di chat yg khusus bisa skrang gk bsa jga🫠 ada yg sama gk sih kya aku?? plisss lah WhatsApp jngan eror² gini ih,plisssss wa jdi ginikmren hp riset pas download wa ulang jdi gk bsa nyematkan pesanudh sematkan eh chat nya turun lgi dah gtu gk bsa notifikasi khusus kya sblum nya dlu ganti wallpaper chat yg khusus skrang gk bsa jga yg gk sih kya plisss whatsapp jngan eror gini ih,negatif
Waww,waww,negatif
"gagal pake no lama.alasan no belum di feripikasi,tolong dijelaskan.agae no sy bisa dipakai' untuk WhatsApp.tank",gagal pake no lamaalasan no feripikasitolong dijelaskanagae no sy dipakai whatsapptank,negatif
"boros memori, hape ku RAM nya tidak besar malah nambah nambah berat. plis dong kaya dulu lagi. simple dan mudah.jangan banyakin fitur gak penting. jangan disatuin sama cgatgpt. cuma nambah berat doang. gak semua orang pake chatgpt. fitur gak guna.",boros memori hape ku ram nya nambah nambah berat plis kaya simple mudahjangan banyakin fitur gak disatuin cgatgpt nambah berat doang gak orang pake chatgpt fitur gak,negatif
"kamu salah wa,karna mu dia jadi lama balas",salah wakarna mu balas,negatif
dapat chatan,chatan,negatif
WhatsApp sekarang gak asik,whatsapp gak asik,negatif
"kenapa ngak bisa ngirim foto video gambar, serta ngak bisa lihat status wa kawan",ngak ngirim foto video gambar ngak lihat status wa kawan,negatif
"suka tiba tiba lag, stiker sama emoji gabisa di pencet ih",suka lag stiker emoji gabisa pencet ih,negatif
Kenapa pas bikin snap video kgk bisa diliat video nya woii-_- ngeselin bet dah,pas bikin snap video kgk diliat video nya woii ngeselin bet dah,negatif
"Kebanyakan update terus gak ada bedanya tambah lelet,lama lama bosen jadi jengkel liatnya.",kebanyakan update gak bedanya leletlama bosen jengkel liatnya,negatif
masa akun aku kena blok karena spam,akun kena blok spam,negatif
"ini kenapa yah gabisa kirim sticker+ gabisa kirim emoji,udah mah ngelag lelet lagi",yah gabisa kirim sticker gabisa kirim emojiudah mah ngelag lelet,negatif
"makin sini makin gjls, coba dong perbaikin, orang² ngadu ke laporan atau di ulasan bukannya tindak, kita juga ada kerjaan di whatsapp, jadi mohon lah buat vidio call, atau telpon jangan ada error atau ga bisa di hubungi,bugnya makin sini makin gjls",gjls coba perbaikin orang ngadu laporan ulasan tindak kerjaan whatsapp mohon vidio call telpon error ga hubungibugnya gjls,negatif
pesan tidak bunyi,pesan bunyi,negatif
wa saya kok kebanyakan ngebug yaaa,wa kebanyakan ngebug yaaa,negatif
kondang nge pollll jos jis,kondang nge pollll jos jis,negatif
mulai GK jelas soalnya hp kena spam padahal GK orang yg spam apalagi aku spam GK bakal aku aja GK pernah online di wa semuanya GK pernah online! wa mending gk usah di spam deh soalnya aku capek mau liat info tugas sekolah GK bisa!!!,gk hp kena spam gk orang yg spam spam gk aja gk online wa gk online wa mending gk spam deh capek liat info tugas sekolah gk,negatif
apl whastapp..sering terhenti...dan kembali jd ga bisa kebuka2,apl whastappsering terhentidan jd ga kebuka,negatif
ini Kenapa jadi ga jelas gini aplikasi ganti nomor baru malah di batasi terus tolong di perbarui lagi jgan menyulitkan pengguna!!! mau kerja jdi susah di batasi gitu padahal baru chat 2 orang,ga gini aplikasi ganti nomor batasi tolong perbarui jgan menyulitkan pengguna kerja jdi susah batasi gitu chat orang,negatif
"busuk wa skrg gabisa cadangin akun mana datanya penting,di tulisan cadangan akun malah ada tulisan 'tidak ada cadangan' busuk pdhl sudah di cadangkan",busuk wa skrg gabisa cadangin akun datanya pentingdi tulisan cadangan akun tulisan cadangan busuk pdhl cadangkan,negatif
"Gak banyak sih tapi, kalau di updet pasti makin canggih dan bagus 😎👍👍",gak sih updet canggih bagus,negatif
gausah terlalu banyak updatenya dong kurang suka,gausah updatenya suka,negatif
makin aneh,aneh,negatif
"disematkan cm 1, tpi knp pas mau nyematkn nm kontak yg lain mlh disrh lepaskn dulu smua cht yg berbeda?",disematkan cm tpi knp pas nyematkn nm kontak yg mlh disrh lepaskn smua cht yg berbeda,negatif
waduh tolong dong jangan kira spam dong padahal kan saya ganti wa baru buat nge save orang orang yg di kenal kenapa selalu kena peringatan spam,tolong spam ganti wa nge save orang orang yg kenal kena peringatan spam,negatif
Kenapa Whatsapp saya selalu kena Spam.,whatsapp kena spam,negatif
ok banget,ok banget,negatif
bug sangat2 meresahkan udah 4hari saya ga bisa masuk wa sendiri .. pahadal ada banyak kepentingann toling di perbaiki lagi sistemnya,bug meresahkan udah ga masuk wa pahadal kepentingann toling perbaiki sistemnya,negatif
gak bisa masuk ke app nya,gak masuk app nya,negatif
masa no baru beli di anggap no yg nyepam gimna si jadinya gabisa di pake nih no baru sia sia aja beli,no beli anggap no yg nyepam gimna si gabisa pake nih no sia sia aja beli,negatif
kenapa apk terinstal di 2 hape ?? jelas-jelas saya punya 1hape dan 1 nomor.. dan ujungnya WA kena spam.. meresahkan,apk terinstal hape jelasjelas hape nomor ujungnya wa kena spam meresahkan,negatif
"TOLONG PERBAIKI, saya tiap kirim video sama foto gak pernah bagus, pasti selalu jelek kayak ada bintik² item dan grafiknya sangat jelek, walaupun udah saya setel ke HD tetep aja gak ada perubahan sekalipun, kalopun kamera saya jelek gak mungkin karena hampir tiap hari selalu saya bersihkan, mohon admin whatsapp segera lakukan tindakan terimakasih",tolong perbaiki kirim video foto gak bagus jelek kayak bintik item grafiknya jelek udah setel hd tetep aja gak perubahan kalopun kamera jelek gak bersihkan mohon admin whatsapp lakukan tindakan terimakasih,negatif
whasapp kok spam trs padahal buat bisnis,whasapp spam trs bisnis,negatif
WhatsApp gajelas hampir tiap hari akun gua kena spam,whatsapp gajelas akun gua kena spam,negatif
kok aku sering kena spam ya mohon jawab atuh WhatsApp gimana cara balikin akun saya?,kena spam ya mohon atuh whatsapp gimana balikin akun,negatif
very useful.,very useful,negatif
"jelek, kena batesan mulu, setiap ngechat nomor baru di batesin 6 jam, buset dah, di fitnah katanya nyepam, bayangin aja kalo nomor baru terus baru download WA terus baru masukin 1 nomor tiba"" di batesin ?!!, makin kesini makin aneh aja👎🏻👎🏻👎🏻👎🏻",jelek kena batesan mulu ngechat nomor batesin jam buset dah fitnah nyepam bayangin aja kalo nomor download wa masukin nomor batesin kesini aneh aja,negatif
saya re install wa ga tau sandi nya apa krn tdk permah pakai sandi akhirnya chat lama saya hilanh semua . bad,re install wa ga tau sandi nya krn tdk permah pakai sandi chat hilanh bad,negatif
harus update terus hadeuhhh kualitas video kadang blur. terus gabisa di update di appmarket 😌,update hadeuhhh kualitas video kadang blur gabisa update appmarket,negatif
ga mood karna wa kena kenon Mulu cape ganti nomor Mulu ga enak anj emang,ga mood karna wa kena kenon mulu cape ganti nomor mulu ga enak anj emang,negatif
sangat terganggu adanya meta al,terganggu meta al,negatif
ini ko wa nya gabisa dibukaa siiii astagaaaa udah beberapa kali dicoba tetep gabisaaaa tolong perbaiki bug nya dong,ko wa nya gabisa dibukaa siiii astagaaaa udah kali dicoba tetep gabisaaaa tolong perbaiki bug nya,negatif
"BOLAK BALIK DISURU MULIHINN CHAT, PADAHAL MEMO MASIH BANYAKK, KENAPAA SIHH WHATSAPP? CHAT PENTINGKU ILANG SEMUA!",bolak disuru mulihinn chat memo banyakk kenapaa sihh whatsapp chat pentingku ilang,negatif
